Partida,Barruko kodea,Deskribapena,Urtea,Hasierako aurr,Behin bet aurr,Onar esk garbiak,Bildutakoa garbia,Kobr. dagoena
2 870.01.000.00 2018 (1114),1114,DIRUZAINTZA GERAKINA-OROKORRA-INKORP,2018,0.0,9875007.59,0.0,0.0,0.0
2 870.02.000.00 2018 (1115),1115,DIRUZAINTZA GERAKINA-LOTUA-INKORP,2018,0.0,797003.25,0.0,0.0,0.0
2 112.01.000.00 2019 (1),1,O.H.G.Z.LANDA-ONDASUNAK,2019,24507.0,24507.0,24934.09,24259.66,674.43
2 112.02.000.00 2019 (2),2,O.H.F.Z.HIRI-ONDASUNAK,2019,3828992.0,3828992.0,3839776.29,3780342.78,59433.51
2 113.01.000.00 2019 (3),3,TRAKZIO MEKANIKODUN IBILGAILUEN,2019,1548881.0,1548881.0,1539090.49,1440458.48,98632.01
2 114.01.000.00 2019 (4),4,HIRI-LURREN BALIO GEHIKUNTZAREN ZERGA,2019,250000.0,250000.0,283698.23,226627.47,57070.76
2 130.01.000.00 2019 (5),5,IHARDUERA EKONOMIKOEN GAINEKO ZERGA,2019,863000.0,863000.0,946221.94,238975.44,707246.5
2 282.01.000.00 2019 (7),7,ERAIKUNTZA-INSTALAZIO ZERGA-ICIO.,2019,2954445.0,2954445.0,352798.0,270095.51,82702.49
2 310.01.162.10 2019 (917),917,ONDAKINAK BILKETA ETA TRATAMENDUA,2019,1445506.0,1445506.0,1351849.05,971049.29,380799.76
2 310.02.160.00 2019 (918),918,SANEAMENDU,2019,612186.0,612186.0,636848.52,415443.58,221404.94
2 310.03.164.00 2019 (919),919,UDAL HILERRIA,2019,37496.0,37496.0,36131.67,29968.22,6163.45
2 310.04.000.00 2019 (349),349,AGIRIAK EGITEA,2019,1000.0,1000.0,1505.8,1324.25,181.55
2 310.05.000.00 2019 (203),203,IBILGAILUAK BIDE PUBLIKOTIK JASO ETA KEN,2019,1000.0,1000.0,357.95,357.95,0.0
2 310.08.136.00 2019 (920),920,SU-ITZALTZE,2019,100.0,100.0,0.0,0.0,0.0
2 310.09.161.00 2019 (921),921,UR HORNIDURA,2019,1354836.0,1354836.0,1402670.61,911693.02,490977.59
2 310.11.335.10 2019 (922),922,UDAL EUSKALTEGIA,2019,51436.0,51436.0,21006.03,21006.03,0.0
2 310.16.334.10 2019 (923),923,BITERIKO TAILERRAK,2019,61095.0,61095.0,21344.84,21344.84,0.0
2 310.20.326.01 2019 (924),924,MUSIKA ESKOLA PUBLIKOA,2019,132046.0,132046.0,88219.8,87248.35,971.45
2 310.21.326.02 2019 (925),925,KANTUZ,2019,6000.0,6000.0,2751.65,2751.65,0.0
2 310.22.335.40 2019 (926),926,UDALEKUAK,2019,37500.0,37500.0,39871.5,39871.5,0.0
2 310.23.000.00 2019 (260),260,ANIMALI ARRISKUTSUEN ERREJISTROA,2019,100.0,100.0,0.0,0.0,0.0
2 310.24.342.00 2019 (927),927,KIROLDEGIKO ABONATUAK,2019,512407.0,512407.0,514738.19,514738.19,0.0
2 310.25.342.00 2019 (928),928,KIROLDEGIKO SARRERAK,2019,5000.0,5000.0,8086.15,8086.15,0.0
2 310.26.342.00 2019 (929),929,KIROLDEGIKO IGERIKETA IKASTAROAK,2019,211783.0,211783.0,143791.57,143791.57,0.0
2 310.27.342.00 2019 (930),930,KIROLDEGIKO SQUASH-AREN ERABILPENA,2019,100.0,100.0,15.0,15.0,0.0
2 310.28.342.00 2019 (931),931,KIROLDEGIKO IKASTAROAK,2019,176167.0,176167.0,137638.84,137638.84,0.0
2 310.29.342.00 2019 (932),932,KIROLDEG.PISTA ETA INSTALAZ.ERABILPENA,2019,5000.0,5000.0,1529.2,1529.2,0.0
2 310.30.342.00 2019 (933),933,KIROLDEGIKO FRONTOIAREN ERABILPENA,2019,1000.0,1000.0,5.65,5.65,0.0
2 310.32.342.00 2019 (935),935,KIROLDEGIKO SAUNAK,2019,5000.0,5000.0,3833.45,3833.45,0.0
2 310.35.342.01 2019 (937),937,AISIALDI ETA JOLASER.IGERILEK.ABONATUAK,2019,110458.0,110458.0,108544.13,108544.13,0.0
2 310.36.342.01 2019 (938),938,AISIALDI ETA JOLASER.IGERILEK.SARRERAK,2019,122612.0,122612.0,115066.37,115066.37,0.0
2 310.37.342.00 2019 (939),939,KIROLDEGIKO KARNETA BERRIAK,2019,100.0,100.0,1005.0,1005.0,0.0
2 311.01.000.00 2019 (23),23,ESTABLEZIMENDUAK IREKITZEKO BAIMENA,2019,20200.0,20200.0,14235.35,9018.48,5216.87
2 311.02.000.00 2019 (24),24,AUTOTAXIEN LIZENTZIA,2019,100.0,100.0,82.4,82.4,0.0
2 312.01.000.00 2019 (25),25,HIRIGINTZ BAIMENAK EMATEA,2019,61219.0,61219.0,73147.55,55473.65,17673.9
